nome
"Unidade Local de Saúde da Guarda, E.P.E."
"Unidade Local de Saúde do Norte Alentejano, E.P.E. - Hospital de Portalegre"
"Hospital Garcia de Orta, E.P.E."
"Instituto Português de Oncologia do Porto Francisco Gentil, EPE"
"Centro Hospitalar do Litoral Alentejano, E.P.E."
"Centro Hospitalar do Tâmega e Sousa, E.P.E."
"Centro Hospitalar do Médio Tejo, E.P.E.- Hospital de Abrantes"
Hospital Ortopédico de Sant'Ana
"Unidade Local de Saúde de Matosinhos, E.P.E."
"Hospital da Senhora da Oliveira - Guimarães, E.P.E."
"Centro Hospitalar de Tondela - Viseu, E.P.E."
ACES do Grande Porto II – Gondomar
ACES Pinhal Interior Norte
"Centro Hospitalar Universitario do Porto, E.P.E."
"Centro Hospitalar e Universitário de Coimbra, E.P.E. - CHC-HP"
"Centro Hospitalar Universitário de Lisboa Norte, E. P. E."
Maternidade Alfredo da Costa
Hospital da Prelada
ACES do Algarve II
ACES Alto Trás-os-Montes - Alto Tâmega e Barroso
ACES Amadora
ACES Ave - Famalicão
ACES Baixo Vouga
ACES do Cávado II - Gerês/Cabreira
ACES Douro II - Douro Sul
ACES do Grande Porto III – Maia/Valongo
ACES do Grande Porto V – Porto Ocidental
ACES Lisboa Norte
ACES Oeste Norte
"Centro de Saúde de Velas, São Jorge"
CS Santo da Serra
"Unidade Local de Saúde do Litoral Alentejano, E.P.E."
"Centro Hospitalar Universitário de Lisboa Central, E.P.E.-Hospital de Santo António dos Capuchos"
"Hospital de Vila Franca de Xira, E.P.E."
"Unidade Local de Saúde do Alto Minho, E.P.E. - Hospital de Ponte de Lima"
"Unidade Local de Saúde do Baixo Alentejo, E.P.E."
Instituto Nacional de Medicina Legal - Delegação Norte
Hospital da Luz
"Centro Hospitalar Universitário do Algarve, E.P.E."
"Centro Hospitalar de Setúbal, E.P.E."
"Centro Hospitalar do Oeste, E.P.E."
"Centro Hospitalar Universitário da Cova da Beira, E.P.E.- Hospital de Covilhã"
"Centro Hospitalar do Médio Ave, E.P.E."
ACES Alto Ave
ACES Loures-Odivelas
"Unidade Local de Saúde do Norte Alentejano, E.P.E. - ACES"
"Centro Hospitalar do Baixo Vouga, E.P.E."
"Centro Hospitalar do Algarve, E.P.E."
Centro de Medicina de Reabilitação
Centro de Medicina de Reabilitação da Região Centro-Rovisco Pais
ACES Algarve Barlavento
ACES Algarve Sotavento
ACES Almada-Seixal
ACES Beira Interior
ACES Cova da Beira
ACES do Douro I – Marão e Douro
ACES Estuário do Tejo
ACES do Grande Porto VI - Porto Oriental
ACES do Grande Porto VII – Gaia
CS Machico
CS Ribeira Grande
CS Santo António
Instituto de Oftalmologia Dr. Gama Pinto
"Centro Hospitalar do Médio Tejo, E.P.E."
Hospital de Cascais Dr. José de Almeida
"Unidade Local de Saúde do Nordeste, E.P.E."
ACES do Cávado I - Braga
ACES Oeste Sul
ACES do Tâmega I – Baixo Tâmega
CS Caniço
"Unidade Local de Saúde do Nordeste, E.P.E.- ACES Nordeste"
Unidade de Saude de Ilha de São Miguel
"Hospital de Santo Espírito da Ilha Terceira, E.P.E.R."
Hospital dos Lusíadas
Hospital da CUF Tejo
"Centro Hospitalar Universitário da Cova da Beira, E.P.E."
"Hospital de Magalhães Lemos, E.P.E."
ACES Lisboa Central
Hospital da CUF Descobertas
"Unidade Local de Saúde de Amadora/Sintra, E.P.E."
"Unidade Local de Saúde da Lezíria, E.P.E."
"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E."
"Unidade Local de Saúde de São José, E.P.E."
"Unidade Local de Saúde de Almada-Seixal, E.P.E."
"Unidade Local de Saúde da Arrábida, E.P.E."
"Unidade Local de Saúde de Gaia/Espinho, E.P.E."
"Unidade Local de Saúde do Algarve, E.P.E."
"Unidade Local de Saúde do Alto Ave, E.P.E."
"Unidade Local de Saúde de Coimbra, E.P.E."
"Unidade Local de Saúde da Região de Leiria, E.P.E."
"Unidade Local de Saúde de Lisboa Ocidental, E.P.E."
"Unidade Local de Saúde do Santo António, E.P.E."
"Unidade Local de Saúde de Braga, E.P.E."
"Unidade Local de Saúde  do Baixo Mondego, E.P.E."
"Unidade Local de Saúde de São João, E.P.E."
Hospital das Forças Armadas
"Unidade Local de Saúde do Estuário do Tejo, E.P.E."
"Instituto Português Oncologia do Porto Francisco Gentil, EPE"
"Unidade Local de Saúde de Santa Maria, E.P.E."
"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E."
"Unidade Local de Saúde da Póvoa de Varzim / Vila do Conde, E.P.E."
"Unidade Local de Saúde do Norte Alentejano, E.P.E."
Centro de Saúde de Angra do Heroísmo
CS Angra do Heroísmo
CS Dr. Rui Adriano Freitas
CS Ribeira Brava
"Unidade Local de Saúde da Cova da Beira, E.P.E."
"Unidade Local de Saúde de Matosinhos, E.P.E"
"Unidade Local de Saúde do Oeste, E.P.E."
"Unidade Local de Saúde da Região de Aveiro, E.P.E."
"Unidade Local de Saúde do Arco Ribeirinho, E.P.E."
"Hospital da Horta, E.P.E.R."
"Unidade Local de Saúde  de Loures-Odivelas, E.P.E."
"Unidade Local de Saúde do Alentejo Central, E.P.E."
"Unidade Local de Saúde  do Médio Tejo, E.P.E."
"Unidade Local de Saúde de Entre Douro e Vouga, E.P.E."
"Unidade Local de Saúde do Tâmega e Sousa, E.P.E."
Centro de Reabilitação de Alcoitão
CS Câmara de Lobos
CS Câmara de Lobos - Estreito de Câmara de Lobos
CS Funchal Zona II - Dr. Rui Adriano Freitas
CS Funchal Zona II - Santo António
"Unidade Local de Saúde do Alto Alentejo, E.P.E."
"Unidade Local de Saúde de Barcelos/Esposende, E.P.E."
"Unidade Local de Saúde do Médio Ave, E.P.E."
Hospital dos Marmeleiros - Sesaram
"ACeS Alto Ave – Guimarães, Vizela e Terras de Basto"
ACES de Alto Trás-os-Montes II
ACES do Algarve I
ACES do Baixo Vouga I
ACES do Cávado III – Barcelos/Esposende
ACES Grande Porto VIII - Espinho/Gaia
CS do Bom Jesus
CS Dr. Rui Adriano de Freitas
"Unidade Local de Saúde do Baixo Alentejo, E.P.E - ACES"
CUF Infante Santo Hospital
"Centro Hospitalar do Médio Tejo, E.P.E.- Hospital de Tomar"
Centro de Medicina Desportiva
ACES do Algarve III
ACES CovBeira - Cov
ACES de Entre Douro e Vouga II
ACES Arrábida
ACES do Grande Porto I - Santo Tirso/Trofa e do Ave
ACES Lisboa Ocidental e Oeiras
CS de Santo António
CS Horta
CS Povoação
"Unidade Local de Saúde do Alto Minho, E.P.E. - ACES AMinho"
"Unidade Local de Saúde de Matosinhos, E.P.E. - ACES"
"Unidade Local de Saúde do Nordeste, E.P.E. - ACES"
"Centro Hospitalar da Póvoa do Varzim/Vila do Conde, E.P.E."
"Unidade Local de Saúde do Norte Alentejano, E.P.E. - Hospital de Elvas"
"Centro Hospitalar do Médio Tejo, E.P.E. - Hospital de Torres Novas"
Instituto Nacional de Medicina Legal - Delegação Centro
Instituto Nacional de Medicina Legal  - Sul
"Centro Hospitalar de Setúbal, E.P.E.-Hospital de Outão"
Centro Hospitalar Psiquiátrico de Lisboa - Hospital Júlio de Matos
ACES Médio Tejo
ACES Algarve Central
ACES da Cova da Beira
ACES do Pinhal Litoral II - Ar
ACES Pinhal Litoral
CS Ponta Delgada
CS Praia da Vitória
CS Horta – Ilha do Faial
CS Santa Cruz
"Unidade Local de Saúde do Alto Minho, E.P.E.-ACES AMinho"
"Unidade Local de Saúde de Matosinhos, E.P.E.-ACES Matosinhos"
Hospital da Arrábida
Instituto Português de Reumatologia
ACES Central ARS Algarve
Centro Medicina Desportiva-Lisboa
Centro Medicina Desportiva-Porto
CS Nordeste
USI Pico
Centro de Saúde do Estreito da
CS Bom Jesus
Hospital do Santo Espirito da Ilha Terceira
Coord. I. MGF - RA Açores
CS Funchal Zona I - São Roque
CUF Descobertas Hospital
ACES do Baixo Mondego I
Centro de Saúde da Serra de Água
CS da Ribeira Brava
"ACES do Alto Ave - Guimarães, Vizela e Terras de Basto"
ACES do Ave - Famalicão
"Centro de Saúde da Calheta, São Jorge"
CS do Monte
CS Porto da Cruz
"Unidade Local de Saúde de Matosinhos, E.P.E. - ACES Matos"
"Unidade Local de Saúde de Matosinhos, E.P.E.- ACES"
Centro de Saúde da Camacha
Centro de Saúde de Horta
CS Monte
USI São Miguel
CS Zona Leste - Caniçal
CS Zona Leste - Faial
ACES de Entre Douro e Vouga I
ACES do Dão/Lafões I
ACES do Dão/Lafões II
ACES do Pinhal Litoral I
ACES São Mamede-Norte Alentejano
ACES Baixo Alentejo
"Unidade Local de Saúde de Matosinhos, E.P.E. ACES Matosinhos"
Unidade de Saúde Da Ilha do Pico
Hospital das Forças Armadas-Lisboa
ACES Alentejo Litoral
CS Vila Franca do Campo
CUF Porto
CS Funchal Zona I - Bom Jesus
CS Funchal Zona I - Santa Isabel/Monte
CS Santa Cruz - Caniço
Hospital CUF Tejo
